Sex,Age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,100 - 104,12839,12067,11421,10761,10337,10108,10034,10219,10636,11078,11551,12033,12602,13414,14296,15206,16117,16894,17464,17641,18759,20658,22809,24503,26198,31085,33376,34278,34819,35190,35444,36525,38031,39469,41535,44129,47151,50293,53524,57197,61260,65300,69383,73219,76346,79151,81701,84290,86138,89209,90792,91455,91486,92066,92708,93527,96049,101934,109174,115556,120728,125798,130233,136085,141935,148328,155657,161603,167569,173547,178764,182250,186442,189382,192106,196846,200570,204075,206163,207560,208797,210554,213533,216491,219864,224616,232294,238520,245290,252651,259536,263706,266628,269807,274150,276891,278981,281206,283049,283249,285749
Females,105 and over,614,511,467,549,556,526,486,453,425,409,406,407,423,452,482,511,541,577,628,682,737,793,839,873,887,969,1094,1229,1328,1430,1760,1886,1929,1964,2005,2063,2168,2293,2407,2569,2771,3004,3245,3494,3782,4099,4419,4744,5057,5309,5557,5792,6052,6240,6558,6719,6811,6871,6999,7148,7302,7619,8266,9002,9593,10054,10545,11024,11697,12338,13025,13828,14448,15121,15815,16432,16869,17425,17842,18277,18985,19514,20038,20369,20653,20995,21405,21984,22501,23064,23825,24992,25878,26825,27871,28861,29504,29988,30609,31474,32055
Males,0 - 4,1831245,1814305,1789113,1757322,1721624,1670168,1625994,1582449,1543946,1512655,1488123,1469007,1454950,1444966,1436897,1429870,1424010,1419247,1415515,1412668,1410452,1408349,1405804,1402492,1398179,1392671,1385591,1376590,1365611,1352611,1337600,1320956,1303137,1284339,1264807,1244782,1224535,1204410,1184713,1165705,1147649,1130791,1115270,1101192,1088576,1077344,1067453,1058834,1051320,1044778,1039033,1033902,1029216,1024804,1020469,1016053,1011418,1006440,1001022,995108,988649,981618,974031,965908,957294,948266,938895,929272,919499,909675,899900,890276,880889,871824,863154,854921,847171,839923,833180,826935,821163,815833,810895,806305,801993,797903,793973,790143,786353,782551,778700,774752,770677,766463,762091,757558,752877,748056,743113,738074,732963
Males,5 - 9,2004761,1993774,1985551,1967865,1931967,1907122,1868529,1826240,1781454,1737060,1681342,1637210,1593695,1555218,1523952,1499442,1480348,1466310,1456342,1448287,1441272,1435421,1430663,1426943,1424103,1421900,1419803,1417266,1413961,1409656,1404161,1397087,1388093,1377118,1364129,1349128,1332494,1314685,1295899,1276372,1256355,1236115,1216001,1196315,1177316,1159271,1142416,1126899,1112827,1100221,1088998,1079116,1070501,1062990,1056448,1050711,1045586,1040906,1036494,1032161,1027746,1023115,1018141,1012731,1006828,1000373,993349,985762,977644,969030,960002,950635,941016,931243,921422,911655,902034,892652,883593,874924,866694,858941,851697,844957,838713,832946,827618,822684,818093,813786,809699,805768,801939,798150,794348,790496,786550,782475,778258,773886,769360
Males,10 - 14,2105749,2115489,2114688,2106724,2094065,2067920,2040555,2019360,1991612,1948761,1920317,1881751,1839491,1794736,1750366,1694675,1650560,1607063,1568608,1537356,1512859,1493775,1479752,1469790,1461741,1454733,1448889,1444139,1440424,1437592,1435390,1433293,1430759,1427462,1423164,1417671,1410601,1401612,1390644,1377660,1362665,1346040,1328236,1309453,1289928,1269918,1249685,1229576,1209897,1190900,1172857,1156015,1140507,1126445,1113844,1102623,1092747,1084132,1076626,1070088,1064350,1059227,1054548,1050139,1045808,1041399,1036772,1031805,1026394,1020495,1014041,1007016,999430,991315,982702,973674,964306,954689,944924,935107,925344,915725,906349,897289,888622,880389,872639,865394,858653,852415,846650,841323,836391,831799,827493,823405,819470,815639,811850,808051,804202
Males,15 - 19,2008676,2072312,2112483,2146668,2181546,2203512,2196037,2183445,2167267,2149291,2120519,2093214,2072074,2044382,2001595,1973202,1934687,1892478,1847770,1803446,1747807,1703733,1660277,1621857,1590641,1566171,1547116,1533115,1523171,1515140,1508150,1502323,1497590,1493888,1491068,1488876,1486787,1484263,1480973,1476689,1471211,1464154,1455178,1444222,1431253,1416273,1399661,1381871,1363104,1343595,1323602,1303387,1283294,1263628,1244649,1226623,1209790,1194294,1180237,1167642,1156432,1146562,1137960,1130465,1123934,1118203,1113084,1108408,1104009,1099687,1095285,1090665,1085702,1080298,1074405,1067953,1060933,1053351,1045241,1036634,1027616,1018255,1008642,998883,989073,979318,969706,960332,951277,942613,934383,926639,919400,912665,906431,900672,895345,890417,885830,881528,877441
Males,20 - 24,2060135,2136154,2193782,2239607,2272151,2291360,2299760,2300418,2308293,2327617,2342733,2335351,2322856,2306794,2288948,2260326,2233159,2212138,2184562,2141929,2113653,2075259,2033171,1988587,1944379,1888875,1844906,1801563,1763246,1732113,1707720,1688735,1674789,1664896,1656908,1649961,1644178,1639479,1635817,1633028,1630868,1628812,1626323,1623066,1618809,1613363,1606340,1597401,1586489,1573559,1558621,1542046,1524296,1505572,1486106,1466154,1445980,1425929,1406308,1387367,1369373,1352571,1337108,1323083,1310520,1299341,1289499,1280912,1273435,1266924,1261205,1256103,1251451,1247070,1242763,1238382,1233782,1228836,1223449,1217570,1211137,1204132,1196567,1188475,1179883,1170878,1161537,1151943,1142198,1132404,1122664,1113068,1103704,1094663,1086009,1077793,1070062,1062834,1056114,1049891,1044145
Males,25 - 29,2153201,2221588,2274286,2310063,2322969,2311767,2298358,2285689,2278603,2276384,2278714,2287146,2287864,2295790,2315135,2330286,2323013,2310638,2294711,2277003,2248549,2221539,2200654,2173230,2130782,2102652,2064416,2022492,1978070,1934020,1878698,1834881,1791679,1753493,1722482,1698191,1679291,1665425,1655597,1647670,1640783,1635052,1630407,1626794,1624053,1621935,1619926,1617481,1614268,1610065,1604664,1597690,1588801,1577935,1565054,1550169,1533653,1515965,1497301,1477892,1458003,1437889,1417890,1398319,1379430,1361482,1344725,1329304,1315319,1302795,1291657,1281844,1273289,1265842,1259364,1253674,1248598,1243970,1239614,1235330,1230975,1226404,1221480,1216112,1210256,1203843,1196856,1189314,1181242,1172678,1163698,1154379,1144815,1135092,1125320,1115597,1106019,1096673,1087651,1079017,1070817
Males,30 - 34,2265406,2312781,2355744,2378329,2384768,2393383,2393831,2392876,2387261,2371802,2346018,2332695,2320121,2313125,2310976,2313366,2321860,2322663,2330652,2350029,2365236,2358087,2345847,2330070,2312525,2284262,2257436,2236703,2209447,2167205,2139250,2101197,2059468,2015241,1971381,1916271,1872634,1829608,1791584,1760710,1736535,1717738,1703959,1694209,1686361,1679546,1673882,1669301,1665750,1663064,1661003,1659043,1656647,1653489,1649339,1643992,1637074,1628245,1617441,1604628,1589813,1573368,1555745,1537151,1517814,1497989,1477939,1458008,1438505,1419678,1401790,1385091,1369723,1355778,1343299,1332199,1322430,1313913,1306494,1300051,1294394,1289348,1284750,1280428,1276173,1271847,1267306,1262409,1257068,1251239,1244853,1237897,1230379,1222341,1213802,1204851,1195561,1186023,1176323,1166575,1156877
Males,35 - 39,2190690,2255539,2312342,2354891,2395292,2423737,2422988,2427579,2420363,2406268,2404271,2404862,2404035,2398540,2383227,2357647,2344476,2332074,2325229,2323205,2325702,2334302,2335234,2343319,2362754,2378028,2371036,2358970,2343377,2326024,2297982,2271371,2250831,2223783,2181801,2154051,2116221,2074728,2030743,1987106,1932262,1888845,1846035,1808201,1777488,1753457,1734788,1721125,1711473,1703712,1696981,1691404,1686898,1683424,1680809,1678814,1676921,1674587,1671491,1667404,1662123,1655279,1646530,1635804,1623074,1608341,1591984,1574445,1555930,1536673,1516929,1496967,1477115,1457698,1438944,1421121,1404489,1389187,1375303,1362873,1351829,1342110,1333636,1326265,1319871,1314250,1309238,1304676,1300388,1296164,1291871,1287365,1282504,1277197,1271402,1265050,1258133,1250653,1242649,1234141,1225221
