Sex,Age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,100 - 104,12839,12067,11421,10761,10337,10103,10024,10198,10606,11029,11477,11927,12457,13217,14039,14873,15699,16377,16843,16920,17884,19573,21475,22906,24311,28640,30504,31074,31304,31378,31357,32059,33117,34093,35597,37528,39789,42111,44469,47162,50138,53049,55959,58630,60702,62505,64096,65710,66736,68720,69528,69634,69287,69392,69575,69890,71495,75596,80636,84947,88328,91655,94558,98528,102477,106803,111810,115816,119897,124026,127673,130190,133306,135650,137974,141833,145044,148251,150645,152839,155219,158097,161832,165366,168952,173250,179304,184123,189131,194423,199342,202444,204727,207281,210713,213088,215054,217169,219135,220113,222693
Females,105 and over,614,511,467,549,556,526,486,453,424,407,403,405,420,447,474,501,529,562,607,654,700,748,782,809,815,881,985,1097,1170,1247,1521,1612,1630,1639,1653,1684,1751,1831,1902,2011,2146,2303,2461,2618,2805,3012,3211,3414,3602,3746,3886,4015,4155,4248,4427,4502,4525,4531,4584,4653,4720,4897,5276,5707,6038,6286,6554,6818,7196,7550,7933,8384,8726,9101,9489,9835,10084,10409,10665,10935,11372,11710,12061,12320,12579,12891,13255,13703,14101,14508,15008,15701,16224,16771,17364,17921,18292,18582,18956,19462,19814
Males,0 - 4,1831245,1814305,1794490,1780675,1774837,1762982,1766313,1770676,1773606,1775642,1777309,1779075,1781266,1784011,1787429,1791672,1796711,1802339,1808375,1814604,1820741,1826264,1830655,1833697,1835293,1835398,1833719,1829991,1824290,1816719,1807418,1796974,1786071,1775095,1764468,1754525,1745539,1737778,1731340,1726190,1722269,1719491,1717731,1716913,1716925,1717598,1718851,1720591,1722608,1724756,1726903,1728920,1730727,1732233,1733323,1733933,1734009,1733508,1732403,1730681,1728355,1725467,1722073,1718259,1714117,1709761,1705308,1700871,1696564,1692476,1688692,1685272,1682269,1679713,1677614,1675969,1674751,1673925,1673442,1673250,1673294,1673504,1673819,1674174,1674511,1674776,1674922,1674908,1674705,1674284,1673632,1672743,1671620,1670270,1668716,1666978,1665085,1663075,1660982,1658848,1656716
Males,5 - 9,2004761,1993774,1985551,1969299,1936367,1916088,1883688,1853039,1830968,1819566,1804965,1808311,1812687,1815633,1817680,1819363,1821145,1823346,1826103,1829529,1833779,1838826,1844462,1850504,1856738,1862880,1868406,1872801,1875854,1877457,1877567,1875896,1872171,1866479,1858918,1849626,1839196,1828305,1817340,1806721,1796787,1787811,1780063,1773630,1768484,1764569,1761792,1760036,1759223,1759240,1759918,1761182,1762928,1764947,1767097,1769243,1771264,1773072,1774579,1775674,1776294,1776380,1775885,1774785,1773067,1770747,1767862,1764475,1760660,1756520,1752164,1747717,1743285,1738982,1734899,1731114,1727698,1724702,1722152,1720056,1718411,1717196,1716371,1715892,1715706,1715751,1715963,1716284,1716641,1716979,1717247,1717395,1717379,1717179,1716760,1716114,1715232,1714113,1712765,1711217,1709481
Males,10 - 14,2105749,2115489,2114688,2107689,2097032,2074008,2051004,2034536,2011913,1974604,1952073,1919696,1889068,1867015,1855629,1841044,1844399,1848782,1851737,1853795,1855484,1857270,1859474,1862237,1865665,1869916,1874965,1880605,1886650,1892892,1899041,1904567,1908967,1912019,1913622,1913736,1912075,1908362,1902683,1895129,1885838,1875410,1864525,1853563,1842955,1833031,1824063,1816314,1809886,1804744,1800834,1798057,1796304,1795494,1795517,1796199,1797462,1799209,1801234,1803388,1805538,1807559,1809371,1810881,1811980,1812602,1812690,1812195,1811098,1809382,1807069,1804184,1800798,1796988,1792849,1788495,1784049,1779617,1775319,1771242,1767459,1764049,1761054,1758506,1756413,1754772,1753557,1752732,1752253,1752069,1752117,1752334,1752656,1753017,1753354,1753623,1753775,1753763,1753567,1753150,1752503
Males,15 - 19,2008676,2072312,2112483,2148125,2185528,2210909,2207758,2198938,2186422,2172236,2147506,2124562,2108142,2085569,2048315,2025828,1993493,1962909,1940893,1929534,1914985,1918354,1922746,1925712,1927782,1929484,1931282,1933494,1936262,1939699,1943959,1949020,1954674,1960730,1966978,1973131,1978661,1983071,1986130,1987743,1987872,1986224,1982523,1976857,1969313,1960034,1949620,1938752,1927808,1917214,1907301,1898348,1890613,1884198,1879072,1875169,1872403,1870663,1869859,1869889,1870577,1871849,1873603,1875635,1877796,1879950,1881978,1883798,1885316,1886424,1887055,1887149,1886663,1885572,1883865,1881559,1878678,1875299,1871493,1867361,1863021,1858585,1854160,1849871,1845801,1842026,1838626,1835638,1833097,1831010,1829375,1828164,1827342,1826868,1826690,1826748,1826970,1827301,1827668,1828008,1828284
Males,20 - 24,2060135,2136154,2193782,2245001,2287280,2319569,2343691,2356618,2373861,2400262,2420778,2417702,2408967,2396552,2382483,2357887,2335059,2318739,2296274,2259151,2236763,2204535,2174054,2152124,2140829,2126349,2129744,2134166,2137160,2139260,2140995,2142829,2145074,2147878,2151350,2155640,2160726,2166399,2172480,2178750,2184925,2190481,2194917,2198003,2199646,2199807,2198192,2194523,2188891,2181387,2172150,2161778,2150954,2140050,2129491,2119621,2110705,2103013,2096631,2091534,2087657,2084917,2083195,2082414,2082469,2083188,2084483,2086259,2088310,2090494,2092668,2094719,2096560,2098099,2099226,2099878,2099990,2099523,2098448,2096769,2094485,2091628,2088271,2084485,2080376,2076060,2071648,2067251,2062987,2058936,2055183,2051799,2048831,2046303,2044236,2042621,2041429,2040623,2040166,2040003,2040070
Males,25 - 29,2153201,2221588,2274286,2316095,2341673,2350083,2363165,2377221,2395596,2416219,2437932,2462031,2474977,2492229,2518619,2539144,2536154,2527521,2515212,2501269,2476821,2454131,2437933,2415599,2378635,2356370,2324279,2293932,2272112,2260895,2246508,2249949,2254418,2257460,2259609,2261393,2263276,2265568,2268419,2271934,2276263,2281384,2287094,2293211,2299519,2305733,2311325,2315797,2318929,2320617,2320822,2319256,2315641,2310059,2302613,2293439,2283128,2272362,2261520,2251019,2241201,2232340,2224695,2218360,2213311,2209476,2206779,2205098,2204355,2204442,2205191,2206518,2208322,2210405,2212623,2214830,2216908,2218775,2220342,2221495,2222173,2222322,2221892,2220853,2219205,2216953,2214128,2210803,2207047,2202977,2198696,2194319,2189953,2185718,2181699,2177976,2174622,2171684,2169187,2167144,2165557
Males,30 - 34,2265406,2312781,2355744,2382512,2397576,2419502,2438301,2456915,2472452,2480074,2479304,2492369,2506419,2524785,2545382,2567075,2591166,2604136,2621404,2647789,2668332,2665443,2656922,2644745,2630944,2606671,2584141,2568072,2545886,2509115,2486994,2455066,2424880,2403194,2392089,2377818,2381326,2385858,2388960,2391167,2393010,2394951,2397299,2400214,2403789,2408175,2413346,2419103,2425268,2431622,2437881,2443523,2448045,2451230,2452969,2453232,2451724,2448174,2442661,2435288,2426196,2415962,2405267,2394495,2384063,2374317,2365518,2357943,2351670,2346681,2342904,2340256,2338624,2337926,2338059,2338853,2340220,2342063,2344188,2346435,2348679,2350798,2352708,2354321,2355517,2356234,2356422,2356031,2355033,2353421,2351210,2348421,2345138,2341429,2337405,2333160,2328824,2324499,2320300,2316323,2312637
Males,35 - 39,2190690,2255539,2312340,2357792,2404237,2442127,2454520,2473269,2481223,2483321,2498533,2517380,2536030,2551577,2559232,2558536,2571624,2585707,2604091,2624700,2646401,2670503,2683533,2700841,2727233,2747804,2745045,2736668,2724653,2711031,2686968,2664634,2648727,2626725,2590192,2568255,2536537,2506557,2485050,2474085,2459968,2463554,2468158,2471335,2473618,2475544,2477567,2480001,2482991,2486634,2491085,2496319,2502140,2508369,2514788,2521104,2526805,2531391,2534645,2536464,2536799,2535374,2531908,2526481,2519197,2510198,2500063,2489456,2478785,2468450,2458795,2450082,2442589,2436393,2431477,2427769,2425188,2423617,2422976,2423163,2424009,2425431,2427326,2429504,2431808,2434104,2436275,2438236,2439898,2441144,2441914,2442153,2441817,2440867,2439305,2437147,2434418,2431186,2427532,2423558,2419367
Males,40 - 44,2111080,2169480,2195534,2219048,2246930,2279586,2322316,2363896,2397436,2435527,2469072,2481678,2500587,2508756,2511092,2526445,2545368,2564077,2579669,2587404,2586854,2600008,2614182,2632636,2653283,2675017,2699169,2712289,2729660,2756064,2776682,2774091,2765905,2754100,2740708,2716920,2694845,2679161,2657407,2621194,2599502,2568062,2538354,2517077,2506287,2492368,2496063,2500761,2504035,2506427,2508463,2510587,2513123,2516214,2519950,2524497,2529825,2535734,2542048,2548544,2554947,2560733,2565409,2568756,2570669,2571102,2569785,2566430,2561122,2553959,2545083,2535070,2524596,2514053,2503838,2494301,2485709,2478327,2472238,2467416,2463798,2461302,2459817,2459256,2459522,2460446,2461942,2463908,2466158,2468527,2470889,2473127,2475153,2476884,2478196,2479033,2479342,2479076,2478191,2476700,2474613
Males,45 - 49,2017306,1992173,2011527,2052466,2098038,2148150,2193099,2210252,2226894,2250007,2280171,2322886,2364440,2398043,2436153,2469744,2482582,2501663,2510078,2512708,2528229,2547247,2566047,2581715,2589582,2589264,2602542,2616864,2635427,2656135,2677920,2702127,2715378,2732838,2759266,2779948,2777584,2769649,2758125,2745046,2721636,2699911,2684523,2663106,2627327,2605966,2574895,2545558,2524593,2514043,2500396,2504236,2509066,2512484,2515024,2517201,2519473,2522148,2525374,2529243,2533919,2539368,2545399,2551828,2558443,2564963,2570859,2575656,2579129,2581172,2581740,2580567,2577355,2572207,2565213,2556513,2546675,2536370,2525994,2515955,2506586,2498149,2490915,2484963,2480273,2476786,2474414,2473046,2472596,2472972,2473996,2475592,2477655,2480004,2482468,2484921,2487251,2489369,2491190,2492590,2493523
